cell_id,A_E2SFCA,A_per_10k,pop
529,5.780385706e-05,0.5780385706,3054
530,5.87328225e-05,0.587328225,7796
531,5.881948975e-05,0.5881948975,5417
532,5.845612959e-05,0.5845612959,0
533,5.717273455e-05,0.5717273455,1664
534,5.52985574e-05,0.552985574,1996
535,5.29475906e-05,0.529475906,329
536,5.253303771e-05,0.5253303771,78
537,4.958456578e-05,0.4958456578,1
538,4.428282639e-05,0.4428282639,0
539,4.127754696e-05,0.4127754696,0
540,3.841003147e-05,0.3841003147,3
541,3.577857643e-05,0.3577857643,2
542,3.345979531e-05,0.3345979531,51
543,3.150244578e-05,0.3150244578,19
544,2.992265355e-05,0.2992265355,26
545,2.870173395e-05,0.2870173395,107
546,2.778753758e-05,0.2778753758,142
547,2.73129317e-05,0.273129317,273
548,2.639756046e-05,0.2639756046,3712
549,2.618851029e-05,0.2618851029,7317
550,2.589769703e-05,0.2589769703,272
551,2.54738536e-05,0.254738536,150
552,2.488695272e-05,0.2488695272,4177
553,2.413362042e-05,0.2413362042,705
554,2.227409292e-05,0.2227409292,30
555,2.159974909e-05,0.2159974909,45
556,2.079585222e-05,0.2079585222,24
557,2.125358307e-05,0.2125358307,15
558,2.073738845e-05,0.2073738845,123
559,2.033937024e-05,0.2033937024,1083
560,2.007997388e-05,0.2007997388,287
561,1.99482e-05,0.199482,334
562,1.990451983e-05,0.1990451983,115
563,1.988776545e-05,0.1988776545,386
564,1.993409266e-05,0.1993409266,3547
565,1.980045139e-05,0.1980045139,4639
566,1.949954303e-05,0.1949954303,6828
567,1.898905554e-05,0.1898905554,3080
568,1.825051221e-05,0.1825051221,3971
569,1.729086518e-05,0.1729086518,4132
570,1.614040505e-05,0.1614040505,7200
571,1.54709156e-05,0.154709156,5020
572,1.425180663e-05,0.1425180663,509
573,1.166895544e-05,0.1166895544,0
574,1.042358478e-05,0.1042358478,28
575,8.034310405e-06,0.08034310405,0
576,7.236093875e-06,0.07236093875,73
577,6.521611781e-06,0.06521611781,0
578,5.885854399e-06,0.05885854399,0
579,4.583054251e-06,0.04583054251,0
580,4.159526219e-06,0.04159526219,2764
