cell_id,A_E2SFCA,A_per_10k,pop,A_norm01,A_pct
4246,4.154129824e-05,0.4154129824,56,0.10828168707207259,40.068925904652495
4247,3.688748774e-05,0.3688748774,153,0.09615104904187978,37.58759333716255
4248,3.243535e-05,0.3243535,599,0.08454609190310057,35.2441125789776
4249,9.151519076e-05,0.9151519076,0,0.2385438026266015,62.66513497989661
4250,0.0001041986958,1.041986958,0,0.27160466932806393,66.61688684663987
4251,0.0001181371005,1.181371005,0,0.307936561684669,70.82136703044227
4252,0.0001333019662,1.333019662,0,0.34746535139004836,74.39402642159678
4253,0.0001504771776,1.504771776,0,0.39223431492765715,78.02412406662837
4254,0.0001683277407,1.683277407,0,0.4387636524675541,81.96438828259622
4255,0.0001869489577,1.869489577,0,0.48730177904332955,85.14646754738656
4256,0.0002063018856,2.063018856,0,0.5377471857008029,88.06433084434234
4257,0.0002261252309,2.261252309,0,0.5894187839280672,90.8328546812177
4258,0.0002465611254,2.465611254,0,0.6426870549508578,93.37162550258472
4259,0.0002665017474,2.665017474,0,0.6946643470169828,95.33601378518092
4260,0.0002859219857,2.859219857,0,0.7452852051884504,96.86387133831131
4261,0.0003044395676,3.044395676,0,0.7935531961655969,97.55313038483631
4262,0.0003219110583,3.219110583,0,0.8390944423185248,98.19643882825963
4263,0.0003375516623,3.375516623,0,0.8798632930694494,98.6789201608271
4264,0.0003512080224,3.512080224,0,0.9154600070274129,99.0809879379667
4265,0.0003625821238,3.625821238,0,0.9451077778169863,99.41412981045377
4266,0.0003709538904,3.709538904,7,0.9669296526651044,99.6553704767375
4267,0.0003771734583,3.771734583,0,0.9831415991762712,99.81619758759334
4268,0.0003805682465,3.805682465,0,0.9919904654640949,99.90809879379667
4269,0.0003811028299,3.811028299,0,0.9933839123443126,99.93107409534751
4270,0.000378815304,3.78815304,0,0.9874212396747677,99.85066053991959
4271,0.0003753158171,3.753158171,0,0.9782994654049944,99.77024698449168
4272,0.0003682288423,3.682288423,0,0.9598265331642213,99.55198161975875
4273,0.000358936504,3.58936504,0,0.935605093040822,99.2992533026996
4274,0.0003477250794,3.477250794,0,0.9063813561427683,98.97759908098793
4275,0.0003343859452,3.343859452,0,0.8716115242778126,98.57553130384836
4276,0.0003204312334,3.204312334,0,0.8352371257797516,98.12751292360711
4277,0.0003055806383,3.055806383,0,0.7965275148725058,97.63354394026422
4278,0.0002908822996,2.908822996,0,0.7582147760072523,97.10511200459506
4279,0.0002752803971,2.752803971,0,0.7175468047157998,96.22056289488799
4280,0.0002597135335,2.597135335,0,0.6769701659383971,94.69270534175762
4281,0.0002444431962,2.444431962,0,0.6371664536073401,93.10740953475015
4282,0.0002296917019,2.296917019,0,0.5987151591771626,91.34979896611142
4283,0.000215639344,2.15639344,0,0.5620862360279237,89.36243538196439
4284,0.0002024233631,2.024233631,0,0.5276374159670636,87.53589890867318
4285,0.0001915296578,1.915296578,0,0.4992418472601098,85.93911545089028
4286,0.0001806933574,1.806933574,0,0.4709959103576868,84.17001723147617
4287,0.0001709885068,1.709885068,0,0.44569921429202203,82.48133256748996
4288,0.0001624255023,1.624255023,0,0.42337885809350206,80.64330844342332
4289,0.0001558996307,1.558996307,0,0.4063684993324147,79.17288914417003
4290,0.0001498451666,1.498451666,0,0.39058691293909314,77.9092475588742
4291,0.0001456767268,1.456767268,5,0.3797214438005347,77.11659965537048
4292,0.0001420499672,1.420499672,0,0.370267920084834,76.27800114876507
4293,0.0001394937406,1.394937406,0,0.3636048512710629,75.60022975301551
4294,0.0001379582365,1.379582365,0,0.35960240114315656,75.35898908673177
4295,0.0001362466232,1.362466232,0,0.35514090418491906,75.0373348650201
4296,0.0001355727704,1.355727704,0,0.3533844372203892,74.88799540493969
4297,0.0001373832176,1.373832176,0,0.3581035549532613,75.25560022975301
4298,0.0001398777261,1.398777261,0,0.364605749160941,75.71510626076967
4299,0.0001435455245,1.435455245,0,0.374166244750119,76.55370476737508
4300,0.0001475101909,1.475101909,0,0.38450055746200695,77.4037909247559
4301,0.0001505325015,1.505325015,0,0.3923785223906208,78.03561171740378
4302,0.0001566085459,1.566085459,0,0.408216360066173,79.3681792073521
4303,0.0001626052158,1.626052158,0,0.42384729990428033,80.72372199885123
4304,0.0001692756895,1.692756895,0,0.4412345789833535,82.10224009190121
4305,0.000176281462,1.76281462,0,0.45949584903708235,83.38885697874785
4306,0.0001835226865,1.835226865,0,0.47837084906230126,84.62952326249282
4307,0.0001908742652,1.908742652,0,0.4975334987147045,85.85870189546237
4308,0.0001981875887,1.981875887,0,0.5165964322347097,86.91556576680068
4309,0.0002052938345,2.052938345,0,0.5351195963286018,87.972429638139
4310,0.0002123071381,2.123071381,5,0.5534004969728048,89.05226881102814
4311,0.0002177842375,2.177842375,4,0.5676771226060974,89.67260195290064
4312,0.0002234507231,2.234507231,1,0.5824474029423723,90.59161401493394
4313,0.0002276890255,2.276890255,0,0.5934949761679899,91.02814474439978
4314,0.000231714922,2.31714922,0,0.6039888914635353,91.60252728317059
4315,0.0002347453734,2.347453734,0,0.6118880762286845,91.98161975875934
4316,0.0002359887492,2.359887492,0,0.6151290637517692,92.10798391728892
4317,0.0002358278967,2.358278967,0,0.6147097850867373,92.08500861573809
4318,0.0002342459135,2.342459135,3,0.6105861823811597,91.84376794945433
4319,0.0002312684371,2.312684371,2,0.60282508242837,91.55657668006893
4320,0.0002269637323,2.269637323,3,0.5916044244845983,90.93624353819644
4321,0.000221440525,2.21440525,774,0.5772076138447971,90.28144744399769
4322,0.0002153166423,2.153166423,0,0.561245080696303,89.30499712808731
4323,0.0002086832977,2.086832977,6,0.5439545824535975,88.55829982768523
4324,0.0002006912473,2.006912473,8,0.523122477123684,87.31763354394026
4325,0.0001922268869,1.922268869,3,0.5010592469664831,86.05399195864446
4326,0.0001815464576,1.815464576,0,0.4732196041951744,84.33084434233199
4327,0.0001732386842,1.732386842,0,0.4515645342364246,82.90637564618035
4328,0.0001649781117,1.649781117,1,0.4300324983016428,81.21769098219414
4329,0.0001569555673,1.569555673,12,0.4091209072092358,79.44859276278001
4330,0.0001493310698,1.493310698,0,0.38924686649902424,77.77139574956922
4331,0.0001422290655,1.422290655,0,0.3707347583132326,76.31246410109132
4332,0.0001357355619,1.357355619,0,0.3538087700893129,74.93394600804135
4333,0.0001298972163,1.298972163,0,0.3385905189016531,73.65881677197014
4334,0.0001247223374,1.247223374,7,0.3251016622354905,72.38368753589891
4335,0.0001201836655,1.201836655,0,0.3132711448655401,71.34979896611144
4336,0.000116222711,1.16222711,0,0.30294650760461955,70.31591039632396
4337,0.000112755364,1.12755364,0,0.29390850930579004,69.13268236645605
4338,0.0001096784313,1.096784313,5,0.28588816622844215,68.39747271682941
4339,0.0001068767232,1.068767232,5,0.2785852245149024,67.5473865594486
4340,0.0001042302952,1.042302952,0,0.2716870364298983,66.66283744974153
4341,0.0001016214597,1.016214597,0,0.2648868370812533,65.9391154508903
4342,9.853100655e-05,0.9853100655,0,0.2568312515536692,64.92820218265365
4343,9.572800817e-05,0.9572800817,0,0.2495249465919616,64.07811602527283
4344,9.268112501e-05,0.9268112501,0,0.24158293074618314,62.99827685238368
4345,8.845060206e-05,0.8845060206,0,0.23055563546098118,61.58529580700747
4346,8.501059551e-05,0.8501059551,0,0.2215889028706571,60.43653072946582
4347,8.04985068e-05,0.804985068,0,0.20982767733276086,58.75933371625502
4348,7.646253074e-05,0.7646253074,0,0.19930748862237319,56.611143021252154
4349,7.205782775e-05,0.7205782775,0,0.18782617506175486,54.371051120045955
4350,6.676990547e-05,0.6676990547,10,0.17404265914281664,51.9586444572085
4351,6.170110242e-05,0.6170110242,41,0.16083030014240451,49.442848937392306
4352,5.681643037e-05,0.5681643037,26,0.14809789762306044,47.35209649626652
4353,5.183537441e-05,0.5183537441,31,0.1351142604812184,44.916714531878235
4354,4.685035484e-05,0.4685035484,0,0.12212029178028024,42.59620907524411
4355,4.154950618e-05,0.4154950618,1,0.10830308191595665,40.08041355542791
4356,3.690414273e-05,0.3690414273,491,0.09619446199457445,37.61056863871338
4357,3.24589105e-05,0.324589105,194,0.08460750478128079,35.26708788052843
4358,2.827068204e-05,0.2827068204,116,0.07369045445531418,32.73980470993682
4359,8.849046485e-05,0.8849046485,0,0.23065954194285526,61.61975875933372
4360,0.0001012946882,1.012946882,0,0.2640350733953269,65.81275129236072
4361,0.0001154051088,1.154051088,0,0.30081534297277873,69.90235496840896
4362,0.0001307940852,1.307940852,0,0.34092830037909766,73.90005743825387
4363,0.0001481833519,1.481833519,0,0.38625522117834066,77.50717978173464
4364,0.0001661193158,1.661193158,0,0.4330071647294383,81.4014933946008
4365,0.0001852653931,1.852653931,0,0.4829133939204187,84.8248133256749
4366,0.0002049949002,2.049949002,0,0.534340393181394,87.8920160827111
4367,0.0002252257229,2.252257229,0,0.5870741233637269,90.75244112578977
4368,0.0002460413448,2.460413448,0,0.6413321930986794,93.30269959793223
4369,0.0002664139249,2.664139249,0,0.6944354285944543,95.32452613440552
4370,0.0002862693577,2.862693577,0,0.7461906662066471,96.90982194141297
4371,0.0003052149348,3.052149348,0,0.7955742709050356,97.59908098793797
4372,0.0003230605924,3.230605924,2,0.842090821752209,98.2538770821367
4373,0.0003390714977,3.390714977,0,0.8838249011114772,98.72487076392878
4374,0.0003530549331,3.530549331,0,0.9202741706414643,99.13842619184376
4375,0.0003642634866,3.642634866,0,0.9494904237206456,99.46008041355543
4376,0.0003733867016,3.733867016,0,0.9732710264840425,99.70132107983918
4377,0.0003797224582,3.797224582,5,0.9897858308496275,99.87363584147042
4378,0.0003831540833,3.831540833,5,0.9987307163243205,99.97702469844917
4379,0.0003836410326,3.836410326,0,1.0,100.0
4380,0.0003812188819,3.812188819,0,0.993686413876053,99.94256174612292
4381,0.000377672171,3.77672171,0,0.9844415453697744,99.83917288914417
4382,0.0003703338793,3.703338793,0,0.9653135296560558,99.62090752441127
4383,0.0003607267893,3.607267893,0,0.9402716566976522,99.35669155657668
