mun,cells,pop,A_mean,A_p05,A_p95,Gini
Somontín,18.0,444.0,9.597331254639638e-05,2.4566726446500002e-05,0.00011468491006999998,0.03435088537794728
Sorbas,247.0,2490.0,8.088599752942971e-05,5.1515009393e-05,0.00015540693846,0.09468548003083965
Suflí,11.0,195.0,0.00016357933552923077,0.00016333246080000002,0.00022347210815,0.9695606370088605
Tabernas,280.0,3887.0,5.9365665156279914e-05,2.7751005099e-05,0.000152628177635,0.07523860146203054
Taberno,43.0,1026.0,5.6282146193313844e-05,3.4287854566e-05,6.5432368293e-05,0.06214081360167922
Tahal,93.0,338.0,0.000274255433918639,0.00014603579392,0.0002777682001,0.021289360660796786
Terque,16.0,353.0,0.0001361770434490085,7.450914402e-05,0.00014204668654999999,0.0037005776947260927
"Tres Villas, Las",84.0,562.0,0.00032513837615960855,0.00021433373099,0.00036334891222499996,0.025884801239777655
Turre,106.0,3974.0,6.99375223025994e-05,6.69924517025e-05,8.1885619935e-05,0.017756160921394537
Turrillas,36.0,255.0,3.488471542498039e-05,1.78518774675e-05,5.6306904539999996e-05,0.07145237685983186
Turón,6.0,1.0,9.06581825e-05,7.953754766250001e-05,9.1425350685e-05,1.0
Tíjola,59.0,3306.0,0.00015202648642215666,3.0305817195000002e-05,0.00015348490451,0.013308736877215233
Ugíjar,1.0,0.0,0.0001114572662,0.0001114572662,0.0001114572662,
Uleila del Campo,38.0,810.0,0.0002208578876481481,0.00015629012067000002,0.00023052331386,0.0036056256770607975
Urrácal,27.0,371.0,8.876352255134771e-05,7.3143938989e-05,0.00011758880295,0.029537526522157798
Velefique,65.0,234.0,0.00020878761246923076,0.00015903492524,0.00024602768688,0.0003646271846892146
Vera,57.0,16789.0,5.38521651117172e-05,3.6649742952e-05,7.231795838999999e-05,0.08096336168381757
Viator,21.0,6356.0,1.615376473224355e-05,1.002697061e-05,1.652878609e-05,0.02366565737374704
Vélez-Blanco,425.0,2306.0,1.239252126306288e-06,0.0,1.771339647999999e-06,0.3217839424705853
Vélez-Rubio,280.0,6099.0,3.744519362695852e-06,2.7697653638e-06,2.6981534495500002e-05,0.18088185837105353
Vícar,67.0,30804.0,2.4346403843924817e-05,2.1816714471999998e-05,4.1485156973999995e-05,0.03321313232440548
Zurgena,71.0,2940.0,0.0001042577952522891,6.581456278e-05,0.0001346587758,0.05294393342973458
Íllar,17.0,434.0,0.00015904177446105988,0.00012632967898000002,0.00019667385345999998,0.005778943841109108
